Date ,Workout_Type,Time,Cal_burned,avg_heart_rate,Distance,Total_Steps,Total_Distance,Total_Cals_for_the_Day,Total_Cals_burned_in_day
3/28/2020,Walk,55,542,147,3.23,8842,4.3,1003,3774
3/29/2020,Walk,55,583,144,3.25,9714,4.7,1052,3817
3/30/2020,Walk,55,567,137,3.24,9774,4.8,1146,4044
3/31/2020,Walk,61,538,127,3.28,8672,4.1,976,3781
4/1/2020,Walk,22,171,125,1.01,10532,4.6,1174,4291
4/2/2020,Walk,34,283,121,1.72,7942,3.6,806,3564
4/3/2020,Walk,69,674,140,3.83,10197,5,1150,3954
4/4/2020,Walk,42,372,128,2.13,8454,3.9,981,3873
4/5/2020,Walk,64,550,126,3.22,13208,5.9,1320,4296
4/6/2020,Yoga,30,245,111,0,2687,1.2,839,3705
4/7/2020,Other,36,340,133,0,6099,2.7,1131,4082
4/8/2020,Walk,64,589,130,3.48,10482,5,1213,4179
4/9/2020,Yoga,34,214,92,0,2363,1.1,831,3789
4/10/2020,Walk,30,240,125,1.4,6428,2.9,881,3819
4/11/2020,Walk,36,370,135,2.16,9595,4.6,1129,4161
4/12/2020,Other,28,299,126,0,3948,1.8,823,3648
4/13/2020,Walk,27,236,135,1.38,5891,2.7,735,3497
4/14/2020,Walk,39,343,120,2.09,9500,4.4,1160,4196
4/15/2020,Walk,23,247,150,1.36,6579,3,830,3650
4/16/2020,Walk,31,365,144,2,8002,4,1053,3959
4/17/2020,Walk,34,437,144,2.11,11616,5.4,1303,4338
4/18/2020,Walk,33,273,118,1.74,7608,3.5,901,3812
4/19/2020,Walk,27,250,143,1.4,7288,3.4,882,3703
4/20/2020,Walk,40,355,123,2.25,8114,4,1001,3903
4/21/2020,Walk,50,433,123,2.56,7701,3.6,976,3814
4/22/2020,Walk,41,356,123,2.12,6499,3,868,3669
4/23/2020,Walk,43,463,153,2.48,7778,3.6,1001,3795
4/24/2020,Walk,46,535,146,2.86,11428,5.3,1301,4229
4/25/2020,Walk,27,237,121,1.44,10220,4.6,1153,4000
4/26/2020,Walk,40,355,123,2.25,8114,4.0,1001,3903
4/27/2020,Walk,33,380,149,2.09,6946,3.3,887,3638
4/28/2020,Walk,33,401,147,2.12,9176,4.4,1070,3801
4/29/2020,Walk,41,326,120,2.10,6798,3.1,798,3529
4/30/2020,Walk/Strength_Training,80,790,145,3.77,11979,5.3,1334,4145
5/1/2020,Walk/Strength_Training,81,693,130,3.86,12411,5.7,1301,4108
5/2/2020,Walk,35,256,115,1.77,9132,4.1,971,3795
